Unit_ID,Candidate_Number,Candidate_Name,Score
KK10_CONST_โนนศิลา_บ้านหัน_M12_U10,1,นายวันนิวัติ สมบูรณ์,75
KK10_CONST_โนนศิลา_บ้านหัน_M12_U10,2,ร.ต.ท.สงวน คมขาว,5
KK10_CONST_โนนศิลา_บ้านหัน_M12_U10,3,นายนิวัตร สระพรม,24
KK10_CONST_โนนศิลา_บ้านหัน_M12_U10,4,นายวิระศักดิ์ สายทอง,3
KK10_CONST_โนนศิลา_บ้านหัน_M12_U10,5,นายพชรกร อรรณนพพร,189
KK10_CONST_โนนศิลา_บ้านหัน_M12_U10,6,นายประยูร เทียมทะนง,0
KK10_CONST_โนนศิลา_บ้านหัน_M13_U11,1,นายวันนิวัติ สมบูรณ์,59
KK10_CONST_โนนศิลา_บ้านหัน_M13_U11,2,ร.ต.ท.สงวน คมขาว,1
KK10_CONST_โนนศิลา_บ้านหัน_M13_U11,3,นายนิวัตร สระพรม,6
KK10_CONST_โนนศิลา_บ้านหัน_M13_U11,4,นายวิระศักดิ์ สายทอง,1
KK10_CONST_โนนศิลา_บ้านหัน_M13_U11,5,นายพชรกร อรรณนพพร,39
KK10_CONST_โนนศิลา_บ้านหัน_M13_U11,6,นายประยูร เทียมทะนง,0
KK10_CONST_โนนศิลา_บ้านหัน_M14_U12,1,นายวันนิวัติ สมบูรณ์,27
KK10_CONST_โนนศิลา_บ้านหัน_M14_U12,2,ร.ต.ท.สงวน คมขาว,0
KK10_CONST_โนนศิลา_บ้านหัน_M14_U12,3,นายนิวัตร สระพรม,11
KK10_CONST_โนนศิลา_บ้านหัน_M14_U12,4,นายวิระศักดิ์ สายทอง,1
KK10_CONST_โนนศิลา_บ้านหัน_M14_U12,5,นายพชรกร อรรณนพพร,77
KK10_CONST_โนนศิลา_บ้านหัน_M14_U12,6,นายประยูร เทียมทะนง,1
KK10_CONST_โนนศิลา_บ้านหัน_M15_U13,1,นายวันนิวัติ สมบูรณ์,84
KK10_CONST_โนนศิลา_บ้านหัน_M15_U13,2,ร.ต.ท.สงวน คมขาว,4
KK10_CONST_โนนศิลา_บ้านหัน_M15_U13,3,นายนิวัตร สระพรม,15
KK10_CONST_โนนศิลา_บ้านหัน_M15_U13,4,นายวิระศักดิ์ สายทอง,1
KK10_CONST_โนนศิลา_บ้านหัน_M15_U13,5,นายพชรกร อรรณนพพร,51
KK10_CONST_โนนศิลา_บ้านหัน_M15_U13,6,นายประยูร เทียมทะนง,0
KK10_CONST_โนนศิลา_บ้านหัน_M16_U14,1,นายวันนิวัติ สมบูรณ์,101
KK10_CONST_โนนศิลา_บ้านหัน_M16_U14,2,ร.ต.ท.สงวน คมขาว,3
KK10_CONST_โนนศิลา_บ้านหัน_M16_U14,3,นายนิวัตร สระพรม,27
KK10_CONST_โนนศิลา_บ้านหัน_M16_U14,4,นายวิระศักดิ์ สายทอง,0
KK10_CONST_โนนศิลา_บ้านหัน_M16_U14,5,นายพชรกร อรรณนพพร,131
KK10_CONST_โนนศิลา_บ้านหัน_M16_U14,6,นายประยูร เทียมทะนง,0
KK10_CONST_โนนศิลา_บ้านหัน_M3_U1,1,นายวันนิวัติ สมบูรณ์,99
KK10_CONST_โนนศิลา_บ้านหัน_M3_U1,2,ร.ต.ท.สงวน คมขาว,1
KK10_CONST_โนนศิลา_บ้านหัน_M3_U1,3,นายนิวัตร สระพรม,28
KK10_CONST_โนนศิลา_บ้านหัน_M3_U1,4,นายวิระศักดิ์ สายทอง,0
KK10_CONST_โนนศิลา_บ้านหัน_M3_U1,5,นายพชรกร อรรณนพพร,100
KK10_CONST_โนนศิลา_บ้านหัน_M3_U1,6,นายประยูร เทียมทะนง,0
KK10_CONST_โนนศิลา_บ้านหัน_M4_U2,1,นายวันนิวัติ สมบูรณ์,106
KK10_CONST_โนนศิลา_บ้านหัน_M4_U2,2,ร.ต.ท.สงวน คมขาว,0
KK10_CONST_โนนศิลา_บ้านหัน_M4_U2,3,นายนิวัตร สระพรม,17
KK10_CONST_โนนศิลา_บ้านหัน_M4_U2,4,นายวิระศักดิ์ สายทอง,0
KK10_CONST_โนนศิลา_บ้านหัน_M4_U2,5,นายพชรกร อรรณนพพร,173
KK10_CONST_โนนศิลา_บ้านหัน_M4_U2,6,นายประยูร เทียมทะนง,2
KK10_CONST_โนนศิลา_บ้านหัน_M5_U3,1,นายวันนิวัติ สมบูรณ์,167
KK10_CONST_โนนศิลา_บ้านหัน_M5_U3,2,ร.ต.ท.สงวน คมขาว,5
KK10_CONST_โนนศิลา_บ้านหัน_M5_U3,3,นายนิวัตร สระพรม,40
KK10_CONST_โนนศิลา_บ้านหัน_M5_U3,4,นายวิระศักดิ์ สายทอง,3
KK10_CONST_โนนศิลา_บ้านหัน_M5_U3,5,นายพชรกร อรรณนพพร,338
KK10_CONST_โนนศิลา_บ้านหัน_M5_U3,6,นายประยูร เทียมทะนง,0
KK10_CONST_โนนศิลา_บ้านหัน_M6_U4,1,นายวันนิวัติ สมบูรณ์,195
KK10_CONST_โนนศิลา_บ้านหัน_M6_U4,2,ร.ต.ท.สงวน คมขาว,5
KK10_CONST_โนนศิลา_บ้านหัน_M6_U4,3,นายนิวัตร สระพรม,41
KK10_CONST_โนนศิลา_บ้านหัน_M6_U4,4,นายวิระศักดิ์ สายทอง,2
KK10_CONST_โนนศิลา_บ้านหัน_M6_U4,5,นายพชรกร อรรณนพพร,304
KK10_CONST_โนนศิลา_บ้านหัน_M6_U4,6,นายประยูร เทียมทะนง,0
KK10_CONST_โนนศิลา_บ้านหัน_M7_U5,1,นายวันนิวัติ สมบูรณ์,72
