Unit_ID,District,Subdistrict,Village_No,Unit_No,Latitude,Longitude,Eligible_Voters,Voters_Showed_Up,Allocated_Ballots,Used_Ballots,Valid_Ballots,Invalid_Ballots,No_Vote_Ballots,Remaining_Ballots
KK10_CONST_โนนศิลา_บ้านหัน_M12_U10,โนนศิลา,บ้านหัน,12,10,15.9912,102.6583,602.0,324.0,620,324,296,18,10,296
KK10_CONST_โนนศิลา_บ้านหัน_M13_U11,โนนศิลา,บ้านหัน,13,11,15.9912,102.6583,203.0,112.0,220,112,106,4,2,108
KK10_CONST_โนนศิลา_บ้านหัน_M14_U12,โนนศิลา,บ้านหัน,14,12,15.9912,102.6583,203.0,120.0,220,120,117,1,2,100
KK10_CONST_โนนศิลา_บ้านหัน_M15_U13,โนนศิลา,บ้านหัน,15,13,15.9912,102.6583,254.0,165.0,260,165,155,7,3,95
KK10_CONST_โนนศิลา_บ้านหัน_M16_U14,โนนศิลา,บ้านหัน,16,14,15.9912,102.6583,455.0,276.0,460,276,262,13,1,184
KK10_CONST_โนนศิลา_บ้านหัน_M3_U1,โนนศิลา,บ้านหัน,3,1,15.9912,102.6583,380.0,235.0,380,235,228,7,0,145
KK10_CONST_โนนศิลา_บ้านหัน_M4_U2,โนนศิลา,บ้านหัน,4,2,15.9912,102.6583,485.0,0.0,500,310,298,11,1,190
KK10_CONST_โนนศิลา_บ้านหัน_M5_U3,โนนศิลา,บ้านหัน,5,3,15.9912,102.6583,839.0,578.0,820,578,553,20,5,242
KK10_CONST_โนนศิลา_บ้านหัน_M6_U4,โนนศิลา,บ้านหัน,6,4,15.9912,102.6583,792.0,567.0,800,567,547,15,5,233
KK10_CONST_โนนศิลา_บ้านหัน_M7_U5,โนนศิลา,บ้านหัน,7,5,15.9912,102.6583,400.0,236.0,400,236,209,22,5,164
KK10_CONST_โนนศิลา_บ้านหัน_M8_U6,โนนศิลา,บ้านหัน,8,6,15.9912,102.6583,492.0,323.0,500,323,303,19,1,177
KK10_CONST_โนนศิลา_บ้านหัน_M9_U7,โนนศิลา,บ้านหัน,9,7,15.9912,102.6583,510.0,312.0,520,312,300,11,1,208
KK10_CONST_โนนศิลา_บ้านหัน_M10_U8,โนนศิลา,บ้านหัน,10,8,15.9912,102.6583,353.0,275.0,360,275,266,8,1,85
