Unit_ID,Party_Number,Party_Name,Score
KK10_โนนศิลา_บ้านหัน_M12_U10,1,พรรคไทยทรัพย์ทวี,20.0
KK10_โนนศิลา_บ้านหัน_M12_U10,2,พรรคเพื่อชาติไทย,8.0
KK10_โนนศิลา_บ้านหัน_M12_U10,3,พรรคใหม่,2.0
KK10_โนนศิลา_บ้านหัน_M12_U10,4,พรรคมิติใหม่,2.0
KK10_โนนศิลา_บ้านหัน_M12_U10,5,พรรครวมใจไทย,32.0
KK10_โนนศิลา_บ้านหัน_M12_U10,6,พรรครวมไทยสร้างชาติ,2.0
KK10_โนนศิลา_บ้านหัน_M12_U10,9,พรรคเพื่อไทย,72.0
KK10_โนนศิลา_บ้านหัน_M12_U10,10,พรรคทางเลือกใหม่,2.0
KK10_โนนศิลา_บ้านหัน_M12_U10,11,พรรคเศรษฐกิจ,30.0
KK10_โนนศิลา_บ้านหัน_M12_U10,12,พรรคเสรีรวมไทย,1.0
KK10_โนนศิลา_บ้านหัน_M12_U10,13,พรรครวมพลังประชาชน,2.0
KK10_โนนศิลา_บ้านหัน_M12_U10,16,พรรคพลังเพื่อไทย,2.0
KK10_โนนศิลา_บ้านหัน_M12_U10,19,พรรคสังคมประชาธิปไตยไทย,1.0
KK10_โนนศิลา_บ้านหัน_M12_U10,27,พรรคประชาธิปัตย์,8.0
KK10_โนนศิลา_บ้านหัน_M12_U10,29,พรรคไทยภักดี,1.0
KK10_โนนศิลา_บ้านหัน_M12_U10,30,พรรคแรงงานสร้างชาติ,1.0
KK10_โนนศิลา_บ้านหัน_M12_U10,31,พรรคประชากรไทย,2.0
KK10_โนนศิลา_บ้านหัน_M12_U10,33,พรรคประชาชาติ,2.0
KK10_โนนศิลา_บ้านหัน_M12_U10,34,พรรคสร้างอนาคตไทย,3.0
KK10_โนนศิลา_บ้านหัน_M12_U10,35,พรรครักชาติ,1.0
KK10_โนนศิลา_บ้านหัน_M12_U10,37,พรรคภูมิใจไทย,50.0
KK10_โนนศิลา_บ้านหัน_M12_U10,38,พรรคพลังธรรมใหม่,2.0
KK10_โนนศิลา_บ้านหัน_M12_U10,39,พรรคกรีน,1.0
KK10_โนนศิลา_บ้านหัน_M12_U10,41,พรรคแผ่นดินธรรม,1.0
KK10_โนนศิลา_บ้านหัน_M12_U10,42,พรรคกล้าธรรม,1.0
KK10_โนนศิลา_บ้านหัน_M12_U10,44,พรรคโอกาสใหม่,1.0
KK10_โนนศิลา_บ้านหัน_M12_U10,45,พรรคเป็นธรรม,2.0
KK10_โนนศิลา_บ้านหัน_M12_U10,46,พรรคประชาชน,46.0
KK10_โนนศิลา_บ้านหัน_M12_U10,47,พรรคประชาไทย,1.0
KK10_โนนศิลา_บ้านหัน_M13_U11,1,พรรคไทยทรัพย์ทวี,3.0
KK10_โนนศิลา_บ้านหัน_M13_U11,2,พรรคเพื่อชาติไทย,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,3,พรรคใหม่,1.0
KK10_โนนศิลา_บ้านหัน_M13_U11,4,พรรคมิติใหม่,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,5,พรรครวมใจไทย,3.0
KK10_โนนศิลา_บ้านหัน_M13_U11,6,พรรครวมไทยสร้างชาติ,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,7,พรรคพลวัต,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,8,พรรคประชาธิปไตยใหม่,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,9,พรรคเพื่อไทย,63.0
KK10_โนนศิลา_บ้านหัน_M13_U11,10,พรรคทางเลือกใหม่,1.0
KK10_โนนศิลา_บ้านหัน_M13_U11,11,พรรคเศรษฐกิจ,1.0
KK10_โนนศิลา_บ้านหัน_M13_U11,12,พรรคเสรีรวมไทย,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,13,พรรครวมพลังประชาชน,1.0
KK10_โนนศิลา_บ้านหัน_M13_U11,14,พรรคท้องที่ไทย,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,15,พรรคอนาคตไทย,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,16,พรรคพลังเพื่อไทย,1.0
KK10_โนนศิลา_บ้านหัน_M13_U11,17,พรรคไทยชนะ,1.0
KK10_โนนศิลา_บ้านหัน_M13_U11,18,พรรคพลังสังคมใหม่,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,19,พรรคสังคมประชาธิปไตยไทย,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,20,พรรคฟิวชัน,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,21,พรรคไทรวมพลัง,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,22,พรรคก้าวอิสระ,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,23,พรรคปวงชนไทย,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,24,พรรควิชชั่นใหม่,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,25,พรรคเพื่อชีวิตใหม่,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,26,พรรคคลองไทย,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,27,พรรคประชาธิปัตย์,1.0
KK10_โนนศิลา_บ้านหัน_M13_U11,28,พรรคไทยก้าวหน้า,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,29,พรรคไทยภักดี,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,30,พรรคแรงงานสร้างชาติ,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,31,พรรคประชากรไทย,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,32,พรรคครูไทยเพื่อประชาชน,3.0
KK10_โนนศิลา_บ้านหัน_M13_U11,33,พรรคประชาชาติ,1.0
KK10_โนนศิลา_บ้านหัน_M13_U11,34,พรรคสร้างอนาคตไทย,1.0
KK10_โนนศิลา_บ้านหัน_M13_U11,35,พรรครักชาติ,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,36,พรรคไทยพร้อม,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,37,พรรคภูมิใจไทย,17.0
KK10_โนนศิลา_บ้านหัน_M13_U11,38,พรรคพลังธรรมใหม่,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,39,พรรคกรีน,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,40,พรรคไทยธรรม,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,41,พรรคแผ่นดินธรรม,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,42,พรรคกล้าธรรม,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,43,พรรคพลังประชารัฐ,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,44,พรรคโอกาสใหม่,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,45,พรรคเป็นธรรม,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,46,พรรคประชาชน,9.0
KK10_โนนศิลา_บ้านหัน_M13_U11,47,พรรคประชาไทย,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,48,พรรคไทยสร้างไทย,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,49,พรรคไทยก้าวใหม่,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,50,พรรคอาสาสมัครประชาชนไทย,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,51,พรรคพร้อม,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,52,พรรคเครือข่ายชาวนาแห่งประเทศไทย,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,53,พรรคไทยพิทักษ์ธรรม,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,54,พรรคความหวังใหม่,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,55,พรรคไทยรวมไทย,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,56,พรรคเพื่อชาติ,0.0
KK10_โนนศิลา_บ้านหัน_M13_U11,57,พรรคพลังไทยรักชาติ,0.0
KK10_โนนศิลา_บ้านหัน_M14_U12,1,พรรคไทยทรัพย์ทวี,1.0
KK10_โนนศิลา_บ้านหัน_M14_U12,2,พรรคเพื่อชาติไทย,1.0
KK10_โนนศิลา_บ้านหัน_M14_U12,5,พรรครวมใจไทย,4.0
KK10_โนนศิลา_บ้านหัน_M14_U12,9,พรรคเพื่อไทย,47.0
KK10_โนนศิลา_บ้านหัน_M14_U12,11,พรรคเศรษฐกิจ,8.0
KK10_โนนศิลา_บ้านหัน_M14_U12,13,พรรครวมพลังประชาชน,1.0
KK10_โนนศิลา_บ้านหัน_M14_U12,16,พรรคพลังเพื่อไทย,1.0
KK10_โนนศิลา_บ้านหัน_M14_U12,18,พรรคพลังสังคมใหม่,1.0
KK10_โนนศิลา_บ้านหัน_M14_U12,37,พรรคภูมิใจไทย,29.0
KK10_โนนศิลา_บ้านหัน_M14_U12,39,พรรคกรีน,1.0
KK10_โนนศิลา_บ้านหัน_M14_U12,46,พรรคประชาชน,21.0
KK10_โนนศิลา_บ้านหัน_M14_U12,48,พรรคไทยสร้างไทย,2.0
KK10_โนนศิลา_บ้านหัน_M15_U13,1,พรรคไทยทรัพย์ทวี,5.0
KK10_โนนศิลา_บ้านหัน_M15_U13,2,พรรคเพื่อชาติไทย,2.0
KK10_โนนศิลา_บ้านหัน_M15_U13,5,พรรครวมใจไทย,1.0
KK10_โนนศิลา_บ้านหัน_M15_U13,8,พรรคประชาธิปไตยใหม่,1.0
KK10_โนนศิลา_บ้านหัน_M15_U13,9,พรรคเพื่อไทย,71.0
KK10_โนนศิลา_บ้านหัน_M15_U13,11,พรรคเศรษฐกิจ,5.0
KK10_โนนศิลา_บ้านหัน_M15_U13,13,พรรครวมพลังประชาชน,2.0
KK10_โนนศิลา_บ้านหัน_M15_U13,15,พรรคอนาคตไทย,1.0
KK10_โนนศิลา_บ้านหัน_M15_U13,37,พรรคภูมิใจไทย,40.0
KK10_โนนศิลา_บ้านหัน_M15_U13,38,พรรคพลังธรรมใหม่,2.0
KK10_โนนศิลา_บ้านหัน_M15_U13,43,พรรคพลังประชารัฐ,1.0
KK10_โนนศิลา_บ้านหัน_M15_U13,46,พรรคประชาชน,27.0
KK10_โนนศิลา_บ้านหัน_M16_U14,1,พรรคไทยทรัพย์ทวี,13.0
KK10_โนนศิลา_บ้านหัน_M16_U14,2,พรรคเพื่อชาติไทย,7.0
KK10_โนนศิลา_บ้านหัน_M16_U14,3,พรรคใหม่,1.0
KK10_โนนศิลา_บ้านหัน_M16_U14,4,พรรคมิติใหม่,2.0
KK10_โนนศิลา_บ้านหัน_M16_U14,5,พรรครวมใจไทย,15.0
KK10_โนนศิลา_บ้านหัน_M16_U14,6,พรรครวมไทยสร้างชาติ,4.0
KK10_โนนศิลา_บ้านหัน_M16_U14,9,พรรคเพื่อไทย,93.0
KK10_โนนศิลา_บ้านหัน_M16_U14,11,พรรคเศรษฐกิจ,13.0
KK10_โนนศิลา_บ้านหัน_M16_U14,12,พรรคเสรีรวมไทย,2.0
KK10_โนนศิลา_บ้านหัน_M16_U14,16,พรรคพลังเพื่อไทย,2.0
KK10_โนนศิลา_บ้านหัน_M16_U14,21,พรรคไทรวมพลัง,1.0
KK10_โนนศิลา_บ้านหัน_M16_U14,22,พรรคก้าวอิสระ,1.0
KK10_โนนศิลา_บ้านหัน_M16_U14,27,พรรคประชาธิปัตย์,31.0
KK10_โนนศิลา_บ้านหัน_M16_U14,32,พรรคครูไทยเพื่อประชาชน,1.0
KK10_โนนศิลา_บ้านหัน_M16_U14,34,พรรคสร้างอนาคตไทย,1.0
KK10_โนนศิลา_บ้านหัน_M16_U14,37,พรรคภูมิใจไทย,24.0
KK10_โนนศิลา_บ้านหัน_M16_U14,38,พรรคพลังธรรมใหม่,1.0
KK10_โนนศิลา_บ้านหัน_M16_U14,42,พรรคกล้าธรรม,1.0
KK10_โนนศิลา_บ้านหัน_M16_U14,43,พรรคพลังประชารัฐ,2.0
KK10_โนนศิลา_บ้านหัน_M16_U14,46,พรรคประชาชน,43.0
KK10_โนนศิลา_บ้านหัน_M16_U14,51,พรรคพร้อม,1.0
KK10_โนนศิลา_บ้านหัน_M3_U1,1,พรรคไทยทรัพย์ทวี,4.0
KK10_โนนศิลา_บ้านหัน_M3_U1,2,พรรคเพื่อชาติไทย,1.0
KK10_โนนศิลา_บ้านหัน_M3_U1,3,พรรคใหม่,1.0
KK10_โนนศิลา_บ้านหัน_M3_U1,4,พรรคมิติใหม่,1.0
KK10_โนนศิลา_บ้านหัน_M3_U1,5,พรรครวมใจไทย,3.0
KK10_โนนศิลา_บ้านหัน_M3_U1,6,พรรครวมไทยสร้างชาติ,1.0
KK10_โนนศิลา_บ้านหัน_M3_U1,8,พรรคประชาธิปไตยใหม่,1.0
KK10_โนนศิลา_บ้านหัน_M3_U1,9,พรรคเพื่อไทย,90.0
KK10_โนนศิลา_บ้านหัน_M3_U1,11,พรรคเศรษฐกิจ,10.0
KK10_โนนศิลา_บ้านหัน_M3_U1,13,พรรครวมพลังประชาชน,1.0
KK10_โนนศิลา_บ้านหัน_M3_U1,16,พรรคพลังเพื่อไทย,1.0
KK10_โนนศิลา_บ้านหัน_M3_U1,19,พรรคสังคมประชาธิปไตยไทย,1.0
KK10_โนนศิลา_บ้านหัน_M3_U1,26,พรรคคลองไทย,1.0
KK10_โนนศิลา_บ้านหัน_M3_U1,27,พรรคประชาธิปัตย์,6.0
KK10_โนนศิลา_บ้านหัน_M3_U1,30,พรรคแรงงานสร้างชาติ,1.0
KK10_โนนศิลา_บ้านหัน_M3_U1,37,พรรคภูมิใจไทย,54.0
KK10_โนนศิลา_บ้านหัน_M3_U1,45,พรรคเป็นธรรม,1.0
KK10_โนนศิลา_บ้านหัน_M3_U1,46,พรรคประชาชน,43.0
KK10_โนนศิลา_บ้านหัน_M3_U1,47,พรรคประชาไทย,1.0
KK10_โนนศิลา_บ้านหัน_M3_U1,48,พรรคไทยสร้างไทย,1.0
KK10_โนนศิลา_บ้านหัน_M3_U1,49,พรรคไทยก้าวใหม่,1.0
KK10_โนนศิลา_บ้านหัน_M4_U2,1,พรรคไทยทรัพย์ทวี,2.0
KK10_โนนศิลา_บ้านหัน_M4_U2,2,พรรคเพื่อชาติไทย,5.0
KK10_โนนศิลา_บ้านหัน_M4_U2,3,พรรคใหม่,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,4,พรรคมิติใหม่,1.0
KK10_โนนศิลา_บ้านหัน_M4_U2,5,พรรครวมใจไทย,7.0
KK10_โนนศิลา_บ้านหัน_M4_U2,6,พรรครวมไทยสร้างชาติ,2.0
KK10_โนนศิลา_บ้านหัน_M4_U2,7,พรรคพลวัต,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,8,พรรคประชาธิปไตยใหม่,2.0
KK10_โนนศิลา_บ้านหัน_M4_U2,9,พรรคเพื่อไทย,127.0
KK10_โนนศิลา_บ้านหัน_M4_U2,10,พรรคทางเลือกใหม่,2.0
KK10_โนนศิลา_บ้านหัน_M4_U2,11,พรรคเศรษฐกิจ,6.0
KK10_โนนศิลา_บ้านหัน_M4_U2,12,พรรคเสรีรวมไทย,2.0
KK10_โนนศิลา_บ้านหัน_M4_U2,13,พรรครวมพลังประชาชน,1.0
KK10_โนนศิลา_บ้านหัน_M4_U2,14,พรรคท้องที่ไทย,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,15,พรรคอนาคตไทย,1.0
KK10_โนนศิลา_บ้านหัน_M4_U2,16,พรรคพลังเพื่อไทย,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,17,พรรคไทยชนะ,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,18,พรรคพลังสังคมใหม่,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,19,พรรคสังคมประชาธิปไตยไทย,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,20,พรรคฟิวชัน,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,21,พรรคไทรวมพลัง,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,22,พรรคก้าวอิสระ,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,23,พรรคปวงชนไทย,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,24,พรรควิชชั่นใหม่,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,25,พรรคเพื่อชีวิตใหม่,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,26,พรรคคลองไทย,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,27,พรรคประชาธิปัตย์,5.0
KK10_โนนศิลา_บ้านหัน_M4_U2,28,พรรคไทยก้าวหน้า,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,29,พรรคไทยภักดี,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,30,พรรคแรงงานสร้างชาติ,1.0
KK10_โนนศิลา_บ้านหัน_M4_U2,31,พรรคประชากรไทย,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,32,พรรคครูไทยเพื่อประชาชน,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,33,พรรคประชาชาติ,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,34,พรรคสร้างอนาคตไทย,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,35,พรรครักชาติ,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,36,พรรคไทยพร้อม,1.0
KK10_โนนศิลา_บ้านหัน_M4_U2,37,พรรคภูมิใจไทย,87.0
KK10_โนนศิลา_บ้านหัน_M4_U2,38,พรรคพลังธรรมใหม่,2.0
KK10_โนนศิลา_บ้านหัน_M4_U2,39,พรรคกรีน,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,40,พรรคไทยธรรม,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,41,พรรคแผ่นดินธรรม,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,42,พรรคกล้าธรรม,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,43,พรรคพลังประชารัฐ,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,44,พรรคโอกาสใหม่,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,45,พรรคเป็นธรรม,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,46,พรรคประชาชน,42.0
KK10_โนนศิลา_บ้านหัน_M4_U2,47,พรรคประชาไทย,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,48,พรรคไทยสร้างไทย,2.0
KK10_โนนศิลา_บ้านหัน_M4_U2,49,พรรคไทยก้าวใหม่,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,50,พรรคอาสาสมัครประชาชนไทย,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,51,พรรคพร้อม,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,52,พรรคเครือข่ายชาวนาแห่งประเทศไทย,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,53,พรรคไทยพิทักษ์ธรรม,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,54,พรรคความหวังใหม่,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,55,พรรคไทยรวมไทย,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,56,พรรคเพื่อชาติ,0.0
KK10_โนนศิลา_บ้านหัน_M4_U2,57,พรรคพลังไทยรักชาติ,0.0
KK10_โนนศิลา_บ้านหัน_M5_U3,1,พรรคไทยทรัพย์ทวี,13.0
KK10_โนนศิลา_บ้านหัน_M5_U3,2,พรรคเพื่อชาติไทย,13.0
KK10_โนนศิลา_บ้านหัน_M5_U3,3,พรรคใหม่,7.0
KK10_โนนศิลา_บ้านหัน_M5_U3,4,พรรคมิติใหม่,2.0
KK10_โนนศิลา_บ้านหัน_M5_U3,5,พรรครวมใจไทย,28.0
KK10_โนนศิลา_บ้านหัน_M5_U3,6,พรรครวมไทยสร้างชาติ,6.0
KK10_โนนศิลา_บ้านหัน_M5_U3,8,พรรคประชาธิปไตยใหม่,5.0
KK10_โนนศิลา_บ้านหัน_M5_U3,9,พรรคเพื่อไทย,184.0
KK10_โนนศิลา_บ้านหัน_M5_U3,10,พรรคทางเลือกใหม่,1.0
KK10_โนนศิลา_บ้านหัน_M5_U3,11,พรรคเศรษฐกิจ,10.0
KK10_โนนศิลา_บ้านหัน_M5_U3,12,พรรคเสรีรวมไทย,4.0
KK10_โนนศิลา_บ้านหัน_M5_U3,13,พรรครวมพลังประชาชน,8.0
KK10_โนนศิลา_บ้านหัน_M5_U3,15,พรรคอนาคตไทย,2.0
KK10_โนนศิลา_บ้านหัน_M5_U3,16,พรรคพลังเพื่อไทย,3.0
KK10_โนนศิลา_บ้านหัน_M5_U3,17,พรรคไทยชนะ,1.0
KK10_โนนศิลา_บ้านหัน_M5_U3,24,พรรควิชชั่นใหม่,1.0
KK10_โนนศิลา_บ้านหัน_M5_U3,27,พรรคประชาธิปัตย์,3.0
KK10_โนนศิลา_บ้านหัน_M5_U3,28,พรรคไทยก้าวหน้า,1.0
KK10_โนนศิลา_บ้านหัน_M5_U3,31,พรรคประชากรไทย,1.0
KK10_โนนศิลา_บ้านหัน_M5_U3,32,พรรคครูไทยเพื่อประชาชน,1.0
KK10_โนนศิลา_บ้านหัน_M5_U3,33,พรรคประชาชาติ,3.0
KK10_โนนศิลา_บ้านหัน_M5_U3,34,พรรคสร้างอนาคตไทย,1.0
KK10_โนนศิลา_บ้านหัน_M5_U3,35,พรรครักชาติ,1.0
KK10_โนนศิลา_บ้านหัน_M5_U3,37,พรรคภูมิใจไทย,135.0
KK10_โนนศิลา_บ้านหัน_M5_U3,38,พรรคพลังธรรมใหม่,2.0
KK10_โนนศิลา_บ้านหัน_M5_U3,39,พรรคกรีน,1.0
KK10_โนนศิลา_บ้านหัน_M5_U3,42,พรรคกล้าธรรม,2.0
KK10_โนนศิลา_บ้านหัน_M5_U3,43,พรรคพลังประชารัฐ,2.0
KK10_โนนศิลา_บ้านหัน_M5_U3,46,พรรคประชาชน,96.0
KK10_โนนศิลา_บ้านหัน_M5_U3,48,พรรคไทยสร้างไทย,1.0
KK10_โนนศิลา_บ้านหัน_M5_U3,49,พรรคไทยก้าวใหม่,1.0
KK10_โนนศิลา_บ้านหัน_M5_U3,50,พรรคอาสาสมัครประชาชนไทย,1.0
KK10_โนนศิลา_บ้านหัน_M5_U3,54,พรรคความหวังใหม่,1.0
KK10_โนนศิลา_บ้านหัน_M6_U4,1,พรรคไทยทรัพย์ทวี,6.0
KK10_โนนศิลา_บ้านหัน_M6_U4,2,พรรคเพื่อชาติไทย,14.0
KK10_โนนศิลา_บ้านหัน_M6_U4,3,พรรคใหม่,4.0
KK10_โนนศิลา_บ้านหัน_M6_U4,5,พรรครวมใจไทย,18.0
KK10_โนนศิลา_บ้านหัน_M6_U4,6,พรรครวมไทยสร้างชาติ,1.0
KK10_โนนศิลา_บ้านหัน_M6_U4,8,พรรคประชาธิปไตยใหม่,2.0
KK10_โนนศิลา_บ้านหัน_M6_U4,9,พรรคเพื่อไทย,158.0
KK10_โนนศิลา_บ้านหัน_M6_U4,10,พรรคทางเลือกใหม่,2.0
KK10_โนนศิลา_บ้านหัน_M6_U4,11,พรรคเศรษฐกิจ,15.0
KK10_โนนศิลา_บ้านหัน_M6_U4,12,พรรคเสรีรวมไทย,1.0
KK10_โนนศิลา_บ้านหัน_M6_U4,13,พรรครวมพลังประชาชน,3.0
KK10_โนนศิลา_บ้านหัน_M6_U4,15,พรรคอนาคตไทย,1.0
KK10_โนนศิลา_บ้านหัน_M6_U4,16,พรรคพลังเพื่อไทย,1.0
KK10_โนนศิลา_บ้านหัน_M6_U4,21,พรรคไทรวมพลัง,1.0
KK10_โนนศิลา_บ้านหัน_M6_U4,22,พรรคก้าวอิสระ,1.0
KK10_โนนศิลา_บ้านหัน_M6_U4,25,พรรคเพื่อชีวิตใหม่,1.0
KK10_โนนศิลา_บ้านหัน_M6_U4,27,พรรคประชาธิปัตย์,18.0
KK10_โนนศิลา_บ้านหัน_M6_U4,31,พรรคประชากรไทย,3.0
KK10_โนนศิลา_บ้านหัน_M6_U4,32,พรรคครูไทยเพื่อประชาชน,1.0
KK10_โนนศิลา_บ้านหัน_M6_U4,33,พรรคประชาชาติ,1.0
KK10_โนนศิลา_บ้านหัน_M6_U4,35,พรรครักชาติ,1.0
KK10_โนนศิลา_บ้านหัน_M6_U4,37,พรรคภูมิใจไทย,195.0
KK10_โนนศิลา_บ้านหัน_M6_U4,38,พรรคพลังธรรมใหม่,4.0
KK10_โนนศิลา_บ้านหัน_M6_U4,39,พรรคกรีน,1.0
KK10_โนนศิลา_บ้านหัน_M6_U4,46,พรรคประชาชน,87.0
KK10_โนนศิลา_บ้านหัน_M6_U4,48,พรรคไทยสร้างไทย,2.0
KK10_โนนศิลา_บ้านหัน_M7_U5,1,พรรคไทยทรัพย์ทวี,5.0
KK10_โนนศิลา_บ้านหัน_M7_U5,2,พรรคเพื่อชาติไทย,16.0
KK10_โนนศิลา_บ้านหัน_M7_U5,5,พรรครวมใจไทย,19.0
KK10_โนนศิลา_บ้านหัน_M7_U5,6,พรรครวมไทยสร้างชาติ,2.0
KK10_โนนศิลา_บ้านหัน_M7_U5,8,พรรคประชาธิปไตยใหม่,2.0
KK10_โนนศิลา_บ้านหัน_M7_U5,9,พรรคเพื่อไทย,69.0
KK10_โนนศิลา_บ้านหัน_M7_U5,11,พรรคเศรษฐกิจ,6.0
KK10_โนนศิลา_บ้านหัน_M7_U5,13,พรรครวมพลังประชาชน,1.0
KK10_โนนศิลา_บ้านหัน_M7_U5,16,พรรคพลังเพื่อไทย,1.0
KK10_โนนศิลา_บ้านหัน_M7_U5,19,พรรคสังคมประชาธิปไตยไทย,6.0
