Unit_ID,District,Subdistrict,Village_No,Unit_No,Latitude,Longitude,Eligible_Voters,Voters_Showed_Up,Allocated_Ballots,Used_Ballots,Valid_Ballots,Invalid_Ballots,No_Vote_Ballots,Remaining_Ballots
KK10_โนนศิลา_บ้านหัน_M12_U10,โนนศิลา,บ้านหัน,12,10,15.9912,102.6583,602,324.0,620.0,324.0,299.0,19.0,6.0,296.0
KK10_โนนศิลา_บ้านหัน_M13_U11,โนนศิลา,บ้านหัน,13,11,15.9912,102.6583,203,112.0,220.0,112.0,107.0,3.0,2.0,108.0
KK10_โนนศิลา_บ้านหัน_M14_U12,โนนศิลา,บ้านหัน,14,12,15.9912,102.6583,203,120.0,220.0,120.0,117.0,1.0,2.0,100.0
KK10_โนนศิลา_บ้านหัน_M15_U13,โนนศิลา,บ้านหัน,15,13,15.9912,102.6583,254,165.0,165.0,165.0,158.0,5.0,2.0,95.0
KK10_โนนศิลา_บ้านหัน_M16_U14,โนนศิลา,บ้านหัน,16,14,15.9912,102.6583,455,276.0,460.0,276.0,259.0,16.0,1.0,184.0
KK10_โนนศิลา_บ้านหัน_M3_U1,โนนศิลา,บ้านหัน,3,1,15.9912,102.6583,380,235.0,380.0,235.0,224.0,10.0,1.0,145.0
KK10_โนนศิลา_บ้านหัน_M4_U2,โนนศิลา,บ้านหัน,4,2,15.9912,102.6583,485,,500.0,310.0,294.0,13.0,3.0,190.0
KK10_โนนศิลา_บ้านหัน_M5_U3,โนนศิลา,บ้านหัน,5,3,15.9912,102.6583,839,578.0,820.0,578.0,541.0,31.0,6.0,242.0
KK10_โนนศิลา_บ้านหัน_M6_U4,โนนศิลา,บ้านหัน,6,4,15.9912,102.6583,792,567.0,800.0,567.0,542.0,15.0,10.0,233.0
KK10_โนนศิลา_บ้านหัน_M7_U5,โนนศิลา,บ้านหัน,7,5,15.9912,102.6583,400,236.0,400.0,236.0,214.0,19.0,3.0,164.0
KK10_โนนศิลา_บ้านหัน_M8_U6,โนนศิลา,บ้านหัน,8,6,15.9912,102.6583,492,323.0,500.0,323.0,298.0,19.0,6.0,177.0
KK10_โนนศิลา_บ้านหัน_M9_U7,โนนศิลา,บ้านหัน,9,7,15.9912,102.6583,510,312.0,520.0,312.0,306.0,5.0,1.0,208.0
KK10_โนนศิลา_บ้านหัน_M10_U8,โนนศิลา,บ้านหัน,10,8,15.9912,102.6583,353,275.0,360.0,275.0,259.0,14.0,2.0,85.0
KK10_โนนศิลา_บ้านหัน_M11_U9,โนนศิลา,บ้านหัน,11,9,15.9912,102.6583,720,452.0,700.0,452.0,423.0,29.0,0.0,248.0
KK10_โนนศิลา_หนองปลาหมอ_M1_U1,โนนศิลา,หนองปลาหมอ,1,1,15.9458,102.6611,448,268.0,460.0,268.0,258.0,10.0,0.0,192.0
KK10_โนนศิลา_หนองปลาหมอ_M2_U2,โนนศิลา,หนองปลาหมอ,2,2,15.9458,102.6611,250,155.0,155.0,155.0,148.0,2.0,5.0,105.0
KK10_โนนศิลา_หนองปลาหมอ_M3_U3,โนนศิลา,หนองปลาหมอ,3,3,15.9458,102.6611,478,254.0,254.0,254.0,243.0,9.0,2.0,226.0
KK10_โนนศิลา_หนองปลาหมอ_M4_U4,โนนศิลา,หนองปลาหมอ,4,4,15.9458,102.6611,383,226.0,400.0,226.0,205.0,19.0,2.0,174.0
KK10_โนนศิลา_หนองปลาหมอ_M5_U5,โนนศิลา,หนองปลาหมอ,5,5,15.9458,102.6611,630,384.0,620.0,384.0,366.0,16.0,2.0,236.0
KK10_โนนศิลา_หนองปลาหมอ_M6_U6,โนนศิลา,หนองปลาหมอ,6,6,15.9458,102.6611,543,346.0,560.0,346.0,325.0,20.0,1.0,214.0
KK10_โนนศิลา_หนองปลาหมอ_M7_U7,โนนศิลา,หนองปลาหมอ,7,7,15.9458,102.6611,441,261.0,460.0,261.0,253.0,5.0,3.0,199.0
KK10_โนนศิลา_หนองปลาหมอ_M8_U8,โนนศิลา,หนองปลาหมอ,8,8,15.9458,102.6611,516,317.0,520.0,317.0,301.0,12.0,4.0,203.0
KK10_โนนศิลา_เปือยใหญ่_M1_U1,โนนศิลา,เปือยใหญ่,1,1,15.9392,102.5761,477,308.0,480.0,308.0,292.0,16.0,0.0,172.0
KK10_โนนศิลา_เปือยใหญ่_M2_U2,โนนศิลา,เปือยใหญ่,2,2,15.9392,102.5761,375,210.0,210.0,210.0,197.0,12.0,1.0,170.0
KK10_โนนศิลา_เปือยใหญ่_M3_U3,โนนศิลา,เปือยใหญ่,3,3,15.9392,102.5761,227,149.0,240.0,149.0,139.0,8.0,2.0,91.0
KK10_โนนศิลา_เปือยใหญ่_M4_U4,โนนศิลา,เปือยใหญ่,4,4,15.9392,102.5761,127,77.0,140.0,77.0,75.0,1.0,1.0,63.0
KK10_โนนศิลา_เปือยใหญ่_M5_U5,โนนศิลา,เปือยใหญ่,5,5,15.9392,102.5761,552,338.0,560.0,338.0,312.0,22.0,4.0,222.0
KK10_โนนศิลา_เปือยใหญ่_M6_U6,โนนศิลา,เปือยใหญ่,6,6,15.9392,102.5761,464,282.0,480.0,282.0,268.0,8.0,6.0,198.0
KK10_โนนศิลา_เปือยใหญ่_M7_U7,โนนศิลา,เปือยใหญ่,7,7,15.9392,102.5761,269,167.0,167.0,167.0,161.0,6.0,0.0,113.0
KK10_โนนศิลา_เปือยใหญ่_M8_U8,โนนศิลา,เปือยใหญ่,8,8,15.9392,102.5761,234,161.0,240.0,161.0,153.0,6.0,2.0,79.0
KK10_โนนศิลา_โนนศิลา_M1_U1,โนนศิลา,โนนศิลา,1,1,15.975,102.6667,465,331.0,331.0,331.0,318.0,6.0,7.0,149.0
KK10_โนนศิลา_โนนศิลา_M2_U1,โนนศิลา,โนนศิลา,2,1,15.975,102.6667,255,180.0,260.0,180.0,171.0,8.0,1.0,80.0
KK10_โนนศิลา_ทต.โนนศิลา_M2_U2,โนนศิลา,ทต.โนนศิลา,2,2,15.9711,102.6714,627,440.0,620.0,440.0,418.0,20.0,2.0,180.0
KK10_โนนศิลา_โนนศิลา_M6_U2,โนนศิลา,โนนศิลา,6,2,15.975,102.6667,328,217.0,340.0,217.0,211.0,6.0,0.0,123.0
KK10_โนนศิลา_โนนศิลา_M1_U3,โนนศิลา,โนนศิลา,1,3,15.975,102.6667,472,288.0,480.0,288.0,262.0,24.0,2.0,192.0
KK10_โนนศิลา_โนนศิลา_M3_U3,โนนศิลา,โนนศิลา,3,3,15.975,102.6667,266,176.0,280.0,176.0,168.0,6.0,2.0,104.0
KK10_โนนศิลา_โนนศิลา_M4_U4,โนนศิลา,โนนศิลา,4,4,15.975,102.6667,650,481.0,660.0,481.0,449.0,22.0,10.0,179.0
KK10_โนนศิลา_โนนศิลา_M5_U5,โนนศิลา,โนนศิลา,5,5,15.975,102.6667,571,380.0,580.0,380.0,357.0,20.0,3.0,200.0
KK10_โนนศิลา_โนนศิลา_M1_U6,โนนศิลา,โนนศิลา,1,6,15.975,102.6667,918,594.0,900.0,594.0,550.0,40.0,4.0,306.0
KK10_โนนศิลา_โนนศิลา_M2_U7,โนนศิลา,โนนศิลา,2,7,15.975,102.6667,599,380.0,600.0,380.0,353.0,6.0,21.0,220.0
KK10_โนนศิลา_โนนศิลา_M2_U8,โนนศิลา,โนนศิลา,2,8,15.975,102.6667,547,384.0,560.0,384.0,364.0,17.0,3.0,176.0
KK10_โนนศิลา_โนนแดง_M1_U1,โนนศิลา,โนนแดง,1,1,15.9681,102.6253,357,255.0,360.0,255.0,234.0,16.0,5.0,105.0
KK10_โนนศิลา_โนนแดง_M2_U2,โนนศิลา,โนนแดง,2,2,15.9681,102.6253,385,258.0,400.0,258.0,244.0,11.0,3.0,142.0
KK10_โนนศิลา_โนนแดง_M3_U3,โนนศิลา,โนนแดง,3,3,15.9681,102.6253,384,297.0,400.0,297.0,279.0,14.0,4.0,103.0
KK10_โนนศิลา_โนนแดง_M4_U4,โนนศิลา,โนนแดง,4,4,15.9681,102.6253,503,292.0,520.0,292.0,283.0,9.0,0.0,228.0
KK10_โนนศิลา_โนนแดง_M5_U5,โนนศิลา,โนนแดง,5,5,15.9681,102.6253,387,277.0,400.0,277.0,264.0,9.0,4.0,123.0
KK10_โนนศิลา_โนนแดง_M6_U6,โนนศิลา,โนนแดง,6,6,15.9681,102.6253,363,266.0,380.0,266.0,234.0,27.0,5.0,114.0
KK10_โนนศิลา_โนนแดง_M7_U7,โนนศิลา,โนนแดง,7,7,15.9681,102.6253,457,298.0,460.0,298.0,283.0,14.0,1.0,162.0
KK10_โคกโพธิ์ไชย_ซับสมบูรณ์_M10_U10,โคกโพธิ์ไชย,ซับสมบูรณ์,10,10,15.9442,102.3081,258,173.0,280.0,173.0,161.0,9.0,3.0,107.0
KK10_โคกโพธิ์ไชย_ซับสมบูรณ์_M11_U11,โคกโพธิ์ไชย,ซับสมบูรณ์,11,11,15.9442,102.3081,509,278.0,520.0,278.0,263.0,12.0,3.0,242.0
KK10_โคกโพธิ์ไชย_ซับสมบูรณ์_M1_U1,โคกโพธิ์ไชย,ซับสมบูรณ์,1,1,15.9442,102.3081,529,348.0,540.0,348.0,335.0,10.0,3.0,192.0
KK10_โคกโพธิ์ไชย_ซับสมบูรณ์_M2_U2,โคกโพธิ์ไชย,ซับสมบูรณ์,2,2,15.9442,102.3081,604,367.0,620.0,367.0,338.0,28.0,1.0,253.0
KK10_โคกโพธิ์ไชย_ซับสมบูรณ์_M3_U3,โคกโพธิ์ไชย,ซับสมบูรณ์,3,3,15.9442,102.3081,726,398.0,740.0,398.0,371.0,23.0,4.0,342.0
KK10_โคกโพธิ์ไชย_ซับสมบูรณ์_M4_U4,โคกโพธิ์ไชย,ซับสมบูรณ์,4,4,15.9442,102.3081,516,307.0,520.0,307.0,287.0,19.0,1.0,213.0
KK10_โคกโพธิ์ไชย_ซับสมบูรณ์_M5_U5,โคกโพธิ์ไชย,ซับสมบูรณ์,5,5,15.9442,102.3081,748,442.0,760.0,442.0,408.0,32.0,2.0,318.0
KK10_โคกโพธิ์ไชย_ซับสมบูรณ์_M6_U6,โคกโพธิ์ไชย,ซับสมบูรณ์,6,6,15.9442,102.3081,277,159.0,280.0,159.0,145.0,13.0,1.0,121.0
KK10_โคกโพธิ์ไชย_ซับสมบูรณ์_M7_U7,โคกโพธิ์ไชย,ซับสมบูรณ์,7,7,15.9442,102.3081,416,231.0,420.0,231.0,214.0,12.0,5.0,189.0
KK10_โคกโพธิ์ไชย_ซับสมบูรณ์_M8_U8,โคกโพธิ์ไชย,ซับสมบูรณ์,8,8,15.9442,102.3081,240,172.0,260.0,172.0,156.0,16.0,0.0,88.0
KK10_โคกโพธิ์ไชย_ซับสมบูรณ์_M9_U9,โคกโพธิ์ไชย,ซับสมบูรณ์,9,9,15.9442,102.3081,489,293.0,500.0,293.0,272.0,18.0,3.0,207.0
KK10_โคกโพธิ์ไชย_นาแพง_M1_U1,โคกโพธิ์ไชย,นาแพง,1,1,15.9167,102.3583,462,271.0,480.0,271.0,251.0,17.0,3.0,209.0
