อำเภอ,ตำบล,Latitude,Longitude
โนนศิลา,หนองปลาหมอ,15.9458,102.6611
โนนศิลา,บ้านหัน,15.9912,102.6583
หนองสองห้อง,หนองเม็ก,15.7561,102.7302
โนนศิลา,เปือยใหญ่,15.9392,102.5761
โคกโพธิ์ไชย,โพธิ์ไชย,15.9875,102.3958
หนองสองห้อง,หันโจด,15.7194,102.7681
หนองสองห้อง,ตะกั่วป่า,15.7891,102.7833
หนองสองห้อง,สำโรง,15.7533,102.9412
ชนบท,ปอแดง,16.0388,102.5083
หนองสองห้อง,ดงเค็ง,15.7667,102.8250
โนนศิลา,โนนแดง,15.9681,102.6253
ชนบท,ห้วยแก,16.0417,102.6167
เปือยน้อย,เปือยน้อย,15.8667,102.9167
โนนศิลา,โนนศิลา,15.9750,102.6667
โคกโพธิ์ไชย,นาแพง,15.9167,102.3583
โคกโพธิ์ไชย,ซับสมบูรณ์,15.9442,102.3081
หนองสองห้อง,ดอนดั่ง,15.7333,102.8750
หนองสองห้อง,หนองสองห้อง,15.7281,102.7917
เปือยน้อย,สระแก้ว,15.8333,102.9583
เปือยน้อย,ขามป้อม,15.8833,103.0083
โนนศิลา,ทต.โนนศิลา,15.9711,102.6714
เปือยน้อย,วังม่วง,15.8167,102.9083
หนองสองห้อง,หนองไผ่ล้อม,15.6583,102.7833
หนองสองห้อง,วังหิน,15.6833,102.8417
ชนบท,วังแสง,16.0833,102.5583
หนองสองห้อง,ดอนดู่,15.8167,102.8583
หนองสองห้อง,โนนธาตุ,15.6917,102.7250
โคกโพธิ์ไชย,บ้านโคก,15.9667,102.4333
หนองสองห้อง,คึมชาด,15.7833,102.8917
