source_file,filepath_in_json,แบบฟอร์ม,จังหวัด,เขตเลือกตั้งที่,อำเภอ_เขต,ตำบล_แขวง_เทศบาล,หมู่ที่,หน่วยเลือกตั้งที่,ผู้มีสิทธิตามบัญชี,ผู้มาแสดงตน,บัตรที่ได้รับจัดสรร,บัตรที่ใช้,บัตรดี,บัตรเสีย,บัตรที่เหลือ,รวมคะแนนทั้งสิ้น,บัตรไม่เลือกพรรคใด,คะแนน_พรรค_1,คะแนน_พรรค_2,คะแนน_พรรค_3,คะแนน_พรรค_4,คะแนน_พรรค_5,คะแนน_พรรค_6,คะแนน_พรรค_7,คะแนน_พรรค_8,คะแนน_พรรค_9,คะแนน_พรรค_10,คะแนน_พรรค_11,คะแนน_พรรค_12,คะแนน_พรรค_13,คะแนน_พรรค_14,คะแนน_พรรค_15,คะแนน_พรรค_16,คะแนน_พรรค_17,คะแนน_พรรค_18,คะแนน_พรรค_19,คะแนน_พรรค_20,คะแนน_พรรค_21,คะแนน_พรรค_22,คะแนน_พรรค_23,คะแนน_พรรค_24,คะแนน_พรรค_25,คะแนน_พรรค_26,คะแนน_พรรค_27,คะแนน_พรรค_28,คะแนน_พรรค_29,คะแนน_พรรค_30,คะแนน_พรรค_31,คะแนน_พรรค_32,คะแนน_พรรค_33,คะแนน_พรรค_34,คะแนน_พรรค_35,คะแนน_พรรค_36,คะแนน_พรรค_37,คะแนน_พรรค_38,คะแนน_พรรค_39,คะแนน_พรรค_40,คะแนน_พรรค_41,คะแนน_พรรค_42,คะแนน_พรรค_43,คะแนน_พรรค_44,คะแนน_พรรค_45,คะแนน_พรรค_46,คะแนน_พรรค_47,คะแนน_พรรค_48,คะแนน_พรรค_49,คะแนน_พรรค_50,คะแนน_พรรค_51,คะแนน_พรรค_52,คะแนน_พรรค_53,คะแนน_พรรค_54,คะแนน_พรรค_55,คะแนน_พรรค_56,คะแนน_พรรค_57,คะแนน_พรรค_67
result\bch\เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่10หมู่ที่10.json,เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่10หมู่ที่10.pdf,ส.ส. ๕/๑๘ (บช),ขอนแก่น,10,ชนบท,ปอแดง,10,10,428,249,400,249,238,8,151,238,3,2,2,1,0,14,2,0,1,82,1,6,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,1,0,0,78,1,0,1,0,0,0,0,0,34,0,0,1,0,0,0,0,0,0,0,0,0
result\bch\เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่1หมู่ที่1.json,เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่1หมู่ที่1.pdf,ส.ส. ๕/๑๘ (บช),ขอนแก่น,10,ชนบท,ปอแดง,1,1,528,309,520,309,287,22,211,287,0,5,2,0,0,12,3,0,3,121,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,2,60,4,0,0,0,1,0,0,0,39,0,2,9,0,0,0,0,0,0,0,1,0
result\bch\เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่2หมู่ที่2.json,เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่2หมู่ที่2.pdf,ส.ส. ๕/๑๘ (บช),ขอนแก่น,10,ชนบท,ปอแดง,2,2,828,507,780,507,473,28,273,473,6,9,11,1,0,7,1,1,2,226,0,6,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,3,0,0,2,0,97,7,0,0,0,8,0,0,0,76,1,2,0,0,0,0,0,0,0,0,0,0
result\bch\เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่3หมู่ที่3.json,เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่3หมู่ที่3.pdf,ส.ส. ๕/๑๘ (บช),ขอนแก่น,10,ชนบท,ปอแดง,3,3,281,170,280,170,158,8,110,157,5,4,3,2,0,4,1,0,0,80,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,32,1,2,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,1,0
result\bch\เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่4หมู่ที่4.json,เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่4หมู่ที่4.pdf,ส.ส. ๕/๑๘ (บช),ขอนแก่น,10,ชนบท,ปอแดง,4,4,304,195,300,195,184,11,105,184,0,63,9,2,0,6,2,0,1,40,0,5,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,30,2,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
result\bch\เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่5หมู่ที่5.json,เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่5หมู่ที่5.pdf,ส.ส. ๕/๑๘ (บช),ขอนแก่น,10,ชนบท,ปอแดง,5,5,583,340,560,340,319,20,220,319,1,7,12,0,0,5,4,0,2,143,1,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,5,0,1,2,2,1,0,1,2,0,60,2,0,0,0,0,0,0,0,51,0,1,2,0,0,0,0,0,0,1,0,0
result\bch\เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่6หมู่ที่6.json,เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่6หมู่ที่6.pdf,ส.ส. ๕/๑๘ (บช),ขอนแก่น,10,ชนบท,ปอแดง,6,6,298,157,280,157,146,10,123,146,1,2,6,0,1,5,1,0,0,51,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,30,4,0,1,0,0,0,0,0,32,0,1,0,0,0,0,0,0,0,0,0,0
result\bch\เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่7หมู่ที่7.json,เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่7หมู่ที่7.pdf,ส.ส. ๕/๑๘ (บช),ขอนแก่น,10,ชนบท,ปอแดง,7,7,247,132,240,132,128,4,108,128,0,3,0,1,1,3,2,0,0,77,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
result\bch\เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่8หมู่ที่8.json,เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่8หมู่ที่8.pdf,ส.ส. ๕/๑๘ (บช),ขอนแก่น,10,ชนบท,ปอแดง,8,8,363,188,360,188,181,4,172,181,3,8,5,1,0,7,1,1,1,79,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,28,0,0,0,0,0,0,0,0,34,0,2,0,0,0,0,0,0,0,0,0,0
result\bch\เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่9หมู่ที่9.json,เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่9หมู่ที่9.pdf,ส.ส. ๕/๑๘ (บช),ขอนแก่น,10,ชนบท,ปอแดง,9,9,222,130,200,130,125,5,70,125,0,1,2,0,0,1,3,1,0,43,0,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,34,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
