source_file,filepath_in_json,แบบฟอร์ม,จังหวัด,เขตเลือกตั้งที่,อำเภอ_เขต,ตำบล_แขวง_เทศบาล,หมู่ที่,หน่วยเลือกตั้งที่,ผู้มีสิทธิตามบัญชี,ผู้มาแสดงตน,บัตรที่ได้รับจัดสรร,บัตรที่ใช้,บัตรดี,บัตรเสีย,บัตรที่เหลือ,รวมคะแนนทั้งสิ้น,บัตรไม่เลือกผู้สมัครใด,คะแนน_ผู้สมัคร_1,คะแนน_ผู้สมัคร_2,คะแนน_ผู้สมัคร_3,คะแนน_ผู้สมัคร_4,คะแนน_ผู้สมัคร_5,คะแนน_ผู้สมัคร_6
result\normal\เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่10หมู่ที่10.json,เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่10หมู่ที่10.pdf,ส.ส. ๕/๑๘,ขอนแก่น,10,ชนบท,ปอแดง,10,10,428,249,400,249,232,13,151,232,4,77,1,19,1,132,2
result\normal\เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่1หมู่ที่1.json,เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่1หมู่ที่1.pdf,ส.ส. ๕/๑๘,ขอนแก่น,10,ชนบท,ปอแดง,1,1,528,309,540,309,289,17,231,289,3,109,2,19,2,156,1
result\normal\เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่2หมู่ที่2.json,เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่2หมู่ที่2.pdf,ส.ส. ๕/๑๘,ขอนแก่น,10,ชนบท,ปอแดง,2,2,828,507,780,507,481,17,273,481,9,214,3,44,0,212,8
result\normal\เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่3หมู่ที่3.json,เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่3หมู่ที่3.pdf,ส.ส. ๕/๑๘,ขอนแก่น,10,ชนบท,ปอแดง,3,3,281,170,280,170,159,6,110,159,5,82,2,10,0,65,0
result\normal\เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่4หมู่ที่4.json,เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่4หมู่ที่4.pdf,ส.ส. ๕/๑๘,ขอนแก่น,10,ชนบท,ปอแดง,4,4,304,195,300,195,177,18,105,177,0,36,1,10,0,130,0
result\normal\เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่5หมู่ที่5.json,เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่5หมู่ที่5.pdf,ส.ส. ๕/๑๘,ขอนแก่น,10,ชนบท,ปอแดง,5,5,583,340,560,340,314,20,220,314,6,142,3,36,5,127,1
result\normal\เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่6หมู่ที่6.json,เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่6หมู่ที่6.pdf,ส.ส. ๕/๑๘,ขอนแก่น,10,ชนบท,ปอแดง,6,6,298,157,280,157,152,3,123,152,2,50,1,26,0,75,0
result\normal\เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่7หมู่ที่7.json,เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่7หมู่ที่7.pdf,ส.ส. ๕/๑๘,ขอนแก่น,10,ชนบท,ปอแดง,7,7,247,132,240,132,129,3,108,129,0,65,1,19,2,41,1
result\normal\เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่8หมู่ที่8.json,เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่8หมู่ที่8.pdf,ส.ส. ๕/๑๘,ขอนแก่น,10,ชนบท,ปอแดง,8,8,363,188,360,188,180,6,172,180,2,77,2,16,0,85,0
result\normal\เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่9หมู่ที่9.json,เขตเลือกตั้งที่10\ชนบท\ปอแดง\หน่วยที่9หมู่ที่9.pdf,ส.ส. ๕/๑๘,ขอนแก่น,10,ชนบท,ปอแดง,9,9,222,130,200,130,122,5,70,122,3,49,0,19,0,53,1
result\normal\เขตเลือกตั้งที่10\ชนบท\วังแสง\หน่วยที่10หมู่ที่10.json,เขตเลือกตั้งที่10\ชนบท\วังแสง\หน่วยที่10หมู่ที่10.pdf,ส.ส. ๕/๑๘,ขอนแก่น,10,ชนบท,วังแสง,10,10,550,286,520,286,263,21,234,263,2,116,2,33,0,112,0
result\normal\เขตเลือกตั้งที่10\ชนบท\วังแสง\หน่วยที่11หมู่ที่11.json,เขตเลือกตั้งที่10\ชนบท\วังแสง\หน่วยที่11หมู่ที่11.pdf,ส.ส. ๕/๑๘,ขอนแก่น,10,ชนบท,วังแสง,11,11,475,320,460,320,291,25,140,291,4,80,4,25,0,181,1
result\normal\เขตเลือกตั้งที่10\ชนบท\วังแสง\หน่วยที่1หมู่ที่1.json,เขตเลือกตั้งที่10\ชนบท\วังแสง\หน่วยที่1หมู่ที่1.pdf,ส.ส. ๕/๑๘,ขอนแก่น,10,ชนบท,วังแสง,1,1,485,282,460,282,263,14,178,263,5,102,1,22,11,125,2
